select0_0,select0_1,select0_2,select0_3,select1_0,select1_1,select1_2,select1_3,input_0_0,input_0_1,input_0_2,input_0_3,input_1_0,input_1_1,input_1_2,input_1_3,o_0_0,o_0_1,o_0_2,o_0_3,o_1_0,o_1_1,o_1_2,o_1_3
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,80,81,82,83,90,91,92,93,80,81,82,83,90,91,92,93
0,1,2,3,4,5,6,7,84,85,86,87,94,95,96,97,84,85,86,87,94,95,96,97
0,1,2,3,4,5,6,7,88,89,90,91,98,99,-9008,32767,88,89,90,91,98,99,-9008,32767
0,1,2,3,4,5,6,7,0,1,2,3,10,11,12,13,0,1,2,3,10,11,12,13
1,2,3,0,5,6,7,4,4,1,2,3,14,11,12,13,1,2,3,4,11,12,13,14
2,3,0,1,6,7,4,5,4,5,2,3,14,15,12,13,2,3,4,5,12,13,14,15
3,0,1,2,7,4,5,6,4,5,6,3,14,15,16,13,3,4,5,6,13,14,15,16
0,1,2,3,4,5,6,7,4,5,6,7,14,15,16,17,4,5,6,7,14,15,16,17
1,2,3,0,5,6,7,4,8,5,6,7,18,15,16,17,5,6,7,8,15,16,17,18
2,3,0,1,6,7,4,5,8,9,6,7,18,19,16,17,6,7,8,9,16,17,18,19
4,5,6,7,1,2,3,0,23,20,21,22,10,11,12,13,10,11,12,13,20,21,22,23
5,6,7,4,2,3,0,1,23,24,21,22,14,11,12,13,11,12,13,14,21,22,23,24
6,7,4,5,3,0,1,2,23,24,25,22,14,15,12,13,12,13,14,15,22,23,24,25
7,4,5,6,0,1,2,3,23,24,25,26,14,15,16,13,13,14,15,16,23,24,25,26
4,5,6,7,1,2,3,0,27,24,25,26,14,15,16,17,14,15,16,17,24,25,26,27
5,6,7,4,2,3,0,1,27,28,25,26,18,15,16,17,15,16,17,18,25,26,27,28
6,7,4,5,3,0,1,2,27,28,29,26,18,19,16,17,16,17,18,19,26,27,28,29
1,2,3,0,5,6,7,4,23,20,21,22,33,30,31,32,20,21,22,23,30,31,32,33
2,3,0,1,6,7,4,5,23,24,21,22,33,34,31,32,21,22,23,24,31,32,33,34
3,0,1,2,7,4,5,6,23,24,25,22,33,34,35,32,22,23,24,25,32,33,34,35
0,1,2,3,4,5,6,7,23,24,25,26,33,34,35,36,23,24,25,26,33,34,35,36
1,2,3,0,5,6,7,4,27,24,25,26,37,34,35,36,24,25,26,27,34,35,36,37
2,3,0,1,6,7,4,5,27,28,25,26,37,38,35,36,25,26,27,28,35,36,37,38
3,0,1,2,7,4,5,6,27,28,29,26,37,38,39,36,26,27,28,29,36,37,38,39
5,6,7,4,2,3,0,1,42,43,40,41,33,30,31,32,30,31,32,33,40,41,42,43
6,7,4,5,3,0,1,2,42,43,44,41,33,34,31,32,31,32,33,34,41,42,43,44
7,4,5,6,0,1,2,3,42,43,44,45,33,34,35,32,32,33,34,35,42,43,44,45
4,5,6,7,1,2,3,0,46,43,44,45,33,34,35,36,33,34,35,36,43,44,45,46
5,6,7,4,2,3,0,1,46,47,44,45,37,34,35,36,34,35,36,37,44,45,46,47
6,7,4,5,3,0,1,2,46,47,48,45,37,38,35,36,35,36,37,38,45,46,47,48
7,4,5,6,0,1,2,3,46,47,48,49,37,38,39,36,36,37,38,39,46,47,48,49
2,3,0,1,6,7,4,5,42,43,40,41,52,53,50,51,40,41,42,43,50,51,52,53
3,0,1,2,7,4,5,6,42,43,44,41,52,53,54,51,41,42,43,44,51,52,53,54
0,1,2,3,4,5,6,7,42,43,44,45,52,53,54,55,42,43,44,45,52,53,54,55
1,2,3,0,5,6,7,4,46,43,44,45,56,53,54,55,43,44,45,46,53,54,55,56
2,3,0,1,6,7,4,5,46,47,44,45,56,57,54,55,44,45,46,47,54,55,56,57
3,0,1,2,7,4,5,6,46,47,48,45,56,57,58,55,45,46,47,48,55,56,57,58
0,1,2,3,4,5,6,7,46,47,48,49,56,57,58,59,46,47,48,49,56,57,58,59
6,7,4,5,3,0,1,2,61,62,63,60,52,53,50,51,50,51,52,53,60,61,62,63
7,4,5,6,0,1,2,3,61,62,63,64,52,53,54,51,51,52,53,54,61,62,63,64
4,5,6,7,1,2,3,0,65,62,63,64,52,53,54,55,52,53,54,55,62,63,64,65
5,6,7,4,2,3,0,1,65,66,63,64,56,53,54,55,53,54,55,56,63,64,65,66
6,7,4,5,3,0,1,2,65,66,67,64,56,57,54,55,54,55,56,57,64,65,66,67
7,4,5,6,0,1,2,3,65,66,67,68,56,57,58,55,55,56,57,58,65,66,67,68
4,5,6,7,1,2,3,0,69,66,67,68,56,57,58,59,56,57,58,59,66,67,68,69
3,0,1,2,7,4,5,6,61,62,63,60,71,72,73,70,60,61,62,63,70,71,72,73
0,1,2,3,4,5,6,7,61,62,63,64,71,72,73,74,61,62,63,64,71,72,73,74
1,2,3,0,5,6,7,4,65,62,63,64,75,72,73,74,62,63,64,65,72,73,74,75
2,3,0,1,6,7,4,5,65,66,63,64,75,76,73,74,63,64,65,66,73,74,75,76
3,0,1,2,7,4,5,6,65,66,67,64,75,76,77,74,64,65,66,67,74,75,76,77
0,1,2,3,4,5,6,7,65,66,67,68,75,76,77,78,65,66,67,68,75,76,77,78
1,2,3,0,5,6,7,4,69,66,67,68,79,76,77,78,66,67,68,69,76,77,78,79
7,4,5,6,0,1,2,3,80,81,82,83,71,72,73,70,70,71,72,73,80,81,82,83
4,5,6,7,1,2,3,0,84,81,82,83,71,72,73,74,71,72,73,74,81,82,83,84
5,6,7,4,2,3,0,1,84,85,82,83,75,72,73,74,72,73,74,75,82,83,84,85
6,7,4,5,3,0,1,2,84,85,86,83,75,76,73,74,73,74,75,76,83,84,85,86
7,4,5,6,0,1,2,3,84,85,86,87,75,76,77,74,74,75,76,77,84,85,86,87
4,5,6,7,1,2,3,0,88,85,86,87,75,76,77,78,75,76,77,78,85,86,87,88
5,6,7,4,2,3,0,1,88,89,86,87,79,76,77,78,76,77,78,79,86,87,88,89
0,1,2,3,4,5,6,7,80,81,82,83,90,91,92,93,80,81,82,83,90,91,92,93
1,2,3,0,5,6,7,4,84,81,82,83,94,91,92,93,81,82,83,84,91,92,93,94
2,3,0,1,6,7,4,5,84,85,82,83,94,95,92,93,82,83,84,85,92,93,94,95
3,0,1,2,7,4,5,6,84,85,86,83,94,95,96,93,83,84,85,86,93,94,95,96
0,1,2,3,4,5,6,7,84,85,86,87,94,95,96,97,84,85,86,87,94,95,96,97
1,2,3,0,5,6,7,4,88,85,86,87,98,95,96,97,85,86,87,88,95,96,97,98
2,3,0,1,6,7,4,5,88,89,86,87,98,99,96,97,86,87,88,89,96,97,98,99
