select0_0,select0_1,select0_2,select0_3,select1_0,select1_1,select1_2,select1_3,input_0_0,input_0_1,input_0_2,input_0_3,input_1_0,input_1_1,input_1_2,input_1_3,o_0_0,o_0_1,o_0_2,o_0_3,o_1_0,o_1_1,o_1_2,o_1_3
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,5,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,4,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,7,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,5,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,4,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,0,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,2,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,6,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,6,1,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,4,7,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,0,2,5,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,6,0,3,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,6,1,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,4,7,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,0,2,5,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,6,0,3,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,6,1,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,4,7,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,5,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1,3,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,7,1,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,7,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,5,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1,3,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,7,1,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,7,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,5,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
